QuestionID,RespTxt,RespPct,QuestionTxt,QuestionNote,SubPopulation,ReleaseDate,SurveyOrg,SurveySponsor,SourceDoc,BegDate,EndDate,ExactDates,SampleDesc,SampleSize,IntMethod,StudyNote
USCBSNYT.87NOV2.R30,"Yes, will",34,"Do you think the upcoming (Reagan-Gorbachev) summit meeting will lead to real arms control agreements, or not?",,,11/1/1987,CBS News; New York Times,,CBS News/New York Times Poll,11/20/1987,11/24/1987,Y,National Adult,1553,Telephone Interview,
USCBSNYT.87NOV2.R30,"No, will not",49,"Do you think the upcoming (Reagan-Gorbachev) summit meeting will lead to real arms control agreements, or not?",,,11/1/1987,CBS News; New York Times,,CBS News/New York Times Poll,11/20/1987,11/24/1987,Y,National Adult,1553,Telephone Interview,
USCBSNYT.87NOV2.R30,Don't know/No answer,17,"Do you think the upcoming (Reagan-Gorbachev) summit meeting will lead to real arms control agreements, or not?",,,11/1/1987,CBS News; New York Times,,CBS News/New York Times Poll,11/20/1987,11/24/1987,Y,National Adult,1553,Telephone Interview,
USABCWP.274.R43,Yes,74,Do you think the medium range missile agreement will lead to another major arms control agreement between the United States and the Soviet Union in the next few years or not?,,,12/3/1987,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,11/30/1987,12/2/1987,Y,National Adult,1007,Telephone Interview,
USABCWP.274.R43,No,22,Do you think the medium range missile agreement will lead to another major arms control agreement between the United States and the Soviet Union in the next few years or not?,,,12/3/1987,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,11/30/1987,12/2/1987,Y,National Adult,1007,Telephone Interview,
USABCWP.274.R43,Don't know/No opinion,4,Do you think the medium range missile agreement will lead to another major arms control agreement between the United States and the Soviet Union in the next few years or not?,,,12/3/1987,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,11/30/1987,12/2/1987,Y,National Adult,1007,Telephone Interview,
USABCWP.274.R28,Gorbachev,20,Who do you think is more interested in making progress on arms control--Gorbachev or Reagan?,,,12/3/1987,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,11/30/1987,12/2/1987,Y,National Adult,1007,Telephone Interview,
USABCWP.274.R28,Reagan,66,Who do you think is more interested in making progress on arms control--Gorbachev or Reagan?,,,12/3/1987,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,11/30/1987,12/2/1987,Y,National Adult,1007,Telephone Interview,
USABCWP.274.R28,Both (vol.),9,Who do you think is more interested in making progress on arms control--Gorbachev or Reagan?,,,12/3/1987,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,11/30/1987,12/2/1987,Y,National Adult,1007,Telephone Interview,
USABCWP.274.R28,Neither (vol.),2,Who do you think is more interested in making progress on arms control--Gorbachev or Reagan?,,,12/3/1987,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,11/30/1987,12/2/1987,Y,National Adult,1007,Telephone Interview,
USABCWP.274.R28,Don't know/No opinion,3,Who do you think is more interested in making progress on arms control--Gorbachev or Reagan?,,,12/3/1987,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,11/30/1987,12/2/1987,Y,National Adult,1007,Telephone Interview,
USABCWP.274.R29,Will go too far,23,"Generally speaking, do you think that Ronald Reagan will go too far (at the Summit with Soviet leader Gorbachev) or not far enough to achieve an arms control agreement?",,,12/3/1987,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,11/30/1987,12/2/1987,Y,National Adult,1007,Telephone Interview,
USABCWP.274.R29,Will not go far enough,64,"Generally speaking, do you think that Ronald Reagan will go too far (at the Summit with Soviet leader Gorbachev) or not far enough to achieve an arms control agreement?",,,12/3/1987,Chilton Research Services,ABC News; Washington Post,ABC News/Washington Post Poll,11/30/1987,12/2/1987,Y,National Adult,1007,Telephone Interview,
